timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1546869734497,426,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-15,text,true,,1956,786,20,20,395,0,367
1546869734482,441,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-1,text,true,,1956,786,20,20,410,0,383
1546869734481,511,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-6,text,true,,1956,786,20,20,454,0,434
1546869734486,509,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-13,text,true,,1956,786,20,20,447,0,423
1546869734481,514,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-10,text,true,,1956,786,20,20,450,0,431
1546869734516,479,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-18,text,true,,1956,786,20,20,420,0,399
1546869734509,487,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-17,text,true,,1956,786,20,20,424,0,403
1546869734519,476,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-19,text,true,,1956,786,20,20,412,0,390
1546869734496,507,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-14,text,true,,1956,786,20,20,437,0,416
1546869734505,509,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-16,text,true,,1956,786,20,20,485,0,425
1546869734482,535,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-11,text,true,,1956,786,20,20,510,0,444
1546869734481,538,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-2,text,true,,1956,786,20,20,511,0,444
1546869734481,539,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,1956,786,20,20,514,0,446
1546869734481,541,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-8,text,true,,1956,786,20,20,514,0,446
1546869734524,499,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-20,text,true,,1956,786,20,20,471,0,398
1546869734482,557,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-3,text,true,,1956,786,20,20,531,0,510
1546869734482,559,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-7,text,true,,1956,786,20,20,534,0,512
1546869734483,559,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-12,text,true,,1956,786,20,20,536,0,456
1546869734481,566,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-4,text,true,,1956,786,20,20,538,0,511
1546869734482,565,108 /,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-5,text,true,,1956,786,20,20,537,0,457
1546869735005,75,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-10,text,true,,85922,455,20,20,46,0,0
1546869735006,87,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-14,text,true,,85922,455,20,20,47,0,0
1546869735005,90,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-17,text,true,,85922,455,20,20,53,0,0
1546869735006,97,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-15,text,true,,85922,455,20,20,55,0,0
1546869735005,104,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-19,text,true,,85922,455,20,20,54,0,0
1546869735006,104,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-1,text,true,,85922,455,20,20,55,0,0
1546869735006,105,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-6,text,true,,85922,455,20,20,53,0,0
1546869735005,381,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-13,text,true,,85922,455,20,20,64,0,0
1546869735006,449,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-18,text,true,,85922,455,20,20,63,0,0
1546869735081,402,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-10,text,true,,109437,470,20,20,359,0,0
1546869735387,116,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-13,text,true,,109437,470,20,20,61,0,0
1546869735097,426,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-17,text,true,,109437,470,20,20,367,0,0
1546869735095,430,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-14,text,true,,109437,470,20,20,371,0,0
1546869735457,1085,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-18,text,true,,109437,470,20,20,50,0,0
1546869735526,1026,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-14,text,true,,342007,469,20,20,898,0,0
1546869736554,142,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-14,bin,true,,3953,467,20,20,142,0,122
1546869736543,248,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-18,text,true,,342007,469,20,20,156,0,116
1546869736793,21,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-18,bin,true,,3953,467,20,20,21,0,0
1546869735021,2028,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-2,text,true,,85922,455,20,20,51,0,0
1546869735018,2072,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-11,text,true,,85922,455,20,20,54,0,0
1546869735024,2069,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-20,text,true,,85922,455,20,20,56,0,0
1546869735021,2112,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,85922,455,20,20,62,0,0
1546869735023,2171,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-8,text,true,,85922,455,20,20,60,0,0
1546869735048,2522,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-5,text,true,,85922,455,20,20,427,0,0
1546869737136,449,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,109437,470,20,20,349,0,306
1546869735043,2550,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-12,text,true,,85922,455,20,20,428,0,0
1546869735040,2590,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-3,text,true,,85922,455,20,20,424,0,0
1546869735048,2585,111 /js/jquery/jquery.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-4,text,true,,85922,455,20,20,463,0,0
1546869737093,573,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-11,text,true,,109437,470,20,20,412,0,367
1546869737095,572,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-20,text,true,,109437,470,20,20,406,0,362
1546869735112,3516,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-6,text,true,,109437,470,20,20,2440,0,0
1546869737052,1609,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-2,text,true,,109437,470,20,20,1430,0,133
1546869737196,1524,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-8,text,true,,109437,470,20,20,527,0,457
1546869737587,1164,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,342007,469,20,20,27,0,0
1546869738754,31,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,bin,true,,3953,467,20,20,31,0,0
1546869737596,2120,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-12,text,true,,109437,470,20,20,1943,0,142
1546869737669,2072,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-20,text,true,,342007,469,20,20,50,0,0
1546869737669,2142,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-11,text,true,,342007,469,20,20,47,0,0
1546869737575,2242,112 /js/vendor/foundation/foundation.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-5,text,true,,109437,470,20,20,1213,0,147
1546869739743,652,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-20,bin,true,,3953,467,20,20,652,0,614
1546869739787,673,120 /web2/login,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,19060,0,20,20,577,0,0
1546869740498,146,122 /css/floatingheader.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,1853,483,20,20,146,0,121
1546869740652,25,124 /js/libraries/qtip/css/jquery.qtip.min.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,9723,502,20,20,25,0,0
1546869740683,41,123 /css/jQuery/themes/base/jquery-ui.min.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,26095,634,20,20,26,0,0
1546869738664,2127,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-2,text,true,,342007,469,20,20,43,0,0
1546869739811,981,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-11,bin,true,,3953,467,20,20,981,0,912
1546869740728,84,125 /js/libraries/gritter/jquery.gritter.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,2582,500,20,20,84,0,0
1546869740816,26,126 /css/fontello.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,15444,610,20,20,25,0,0
1546869740846,25,127 /css/animation.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,2372,611,20,20,25,0,0
1546869739718,1171,110 /css/generated/main.css,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-12,text,true,,342007,469,20,20,739,0,129
1546869740877,24,129 /js/libraries/jquery.dialog.extra.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,9299,481,20,20,24,0,0
1546869740892,23,113 /images/animana-logo.svg,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-12,bin,true,,3953,467,20,20,23,0,0
1546869740906,25,130 /js/libraries/jquery.form.min.js,200,OK,IdexxAnimana_LoadTest_80ConcurrentUsers  1-9,text,true,,15636,610,20,20,24,0,0
